ID,Name,Content,Event,Skip
1,Narrator,"지난달 3일, 민정희 씨는 남편 민병관이 연락이 되지 않는다며 경찰에 실종 신고를 접수했다.",1,0
2,Narrator,"그녀는 남편과 연락이 끊긴 지 일주일이 넘었다며, 평소와는 다른 이상한 느낌을 받았다고 말했다.",1,0
3,Narrator,민병관은 지역 고등학교에서 수학 교사로 일하며 평판이 나쁘지 않은 인물이었다.,1,0
4,Narrator,"부부는 최근 별거 중이었지만, 정기적으로 연락을 주고받았다는 주변인의 진술도 있었다.",1,0
5,Narrator,경찰은 단순 실종으로 보고 초기 탐문 수사에 착수했다.,1,0
6,Narrator,"며칠 후, 담당 형사가 민병관의 자택을 방문했고, 문은 잠겨 있지 않았다.",2,0
7,Narrator,"집 안은 어둡고 정적이 감돌았으며, 거실에는 묘한 악취가 감지되었다.",2,0
8,Narrator,"결국 거실 소파 근처에서 민병관의 시신이 발견되었고, 이미 부패가 상당히 진행된 상태였다.",2,0
9,Narrator,현장은 어지럽혀져 있었지만 외부 침입 흔적은 보이지 않았다.,2,0
10,Narrator,"부검 결과 사망 시점은 약 3주 전, 사인은 두부 외상이었다.",2,0
11,Narrator,"경찰은 주변 지인들을 조사했고, 민병관과 아내 민정희 사이에 잦은 갈등이 있었다는 사실을 확인했다.",3,0
12,Narrator,또한 민정희가 최근 다른 남성과 가까운 관계였다는 제보가 들어왔다.,3,0
13,Narrator,"그 남성은 정우석, 지역 체육관에서 트레이너로 일하며 민정희와 수개월째 관계를 이어오고 있었다.",3,0
14,Narrator,"정우석은 사건 당일 외부 출장을 주장했지만, 정확한 행적을 뒷받침할 증거는 부족했다.",3,0
15,Narrator,경찰은 두 사람을 유력한 용의자로 판단하고 소환 조사에 착수했다.,3,0
16,Narrator,"수사는 난항을 겪었고, 결정적인 증거는 좀처럼 드러나지 않았다.",4,0
17,Narrator,"사건은 언론에 알려지며 지역 사회의 관심을 끌었고, 여론도 양분되었다.",4,0
18,Narrator,"경찰은 민정희와 정우석을 반복 조사했지만, 서로를 비호하거나 침묵하는 태도로 일관했다.",4,0
19,Narrator,수사본부는 증거 불충분을 이유로 사건 종결을 검토하기 시작했다.,4,0
20,Narrator,"위에서는 ‘실종 처리로 전환하라’는 압박을 가했고, 수사팀은 마지막 카드를 꺼내게 된다.",4,0
21,Narrator,당신은 프로파일러이자 수사관으로서 사건의 실마리를 찾기 위해 자택에 출동한다.,5,0
22,Narrator,"남겨진 흔적들과 사람들의 기억, 그리고 감춰진 진실을 다시 짚어봐야 한다.",5,0
23,Narrator,"지금부터 자정까지, 단서 하나라도 더 찾지 못하면 사건은 미제로 남는다.",5,0
24,Narrator,자택 안엔 피해자의 물건들과 관계자들의 흔적이 그대로 남아 있다.,5,0
25,Narrator,진실을 밝힐 수 있는 시간은 단 몇 시간뿐이다.,5,0
